Impressão de campos da consulta;;;;;;;;Página: 1;

2569;SERVTOMADO;Pagamento de serviços tomados ref. NF:;;Não;
2585;FRETE;Pagamento de Frete ref.;;Não;
2593;FRETEPAGAR;Frete ref. CTRC nº:;;Não;
2607;ENERGIA;Energia elétrica ref.:;;Não;
2615;TELEFONE;Fatura telefônica ref. NF nº:;;Não;
2623;PAGMULTA;Pagamento de multas ref.:;;Não;
2631;IPIPAGAR;IPI a pagar ref.:;;Não;
2640;PATIPI;Pagamento de IPI ref.:;;Não;
2658;DESC RESC;Desconto rescisão ref.:;;Não;
2666;LICEN;Pagamento de licenciamento ref.:;;Não;
2674;BAIXA;Baixa de venda de imobilizado ref. NF:;;Não;
2690;TRANSFC;Transferência de;;Não;
2704;RESULMENSAL;Resultado do exercício ref. mês:;;Não;
2763;FGTSCOMP;FGTS a compensar ref.:;;Não;
2771;CRED;Crédito de ICMS ref.:;;Não;
2798;IPI;Crédito de IPI ref.:;;Não;
2801;PEDAGIO;Pagamento de pedágio;;Não;
2810;ICMSPARC;Pagamento de ICMS ref.:;;Não;
2836;COMPLSAL;Complemento salarial ref.:;;Não;
2844;PGTORENAUTO;Pagamento de rendimentos autônomos ref.:;;Não;
2852;RENAUTOPGR;Rendimentos de autônomos a pagar ref.:;;Não;
2860;PGTOCOMPL;Pagamento complemento salarial ref.:;;Não;
2879;13COMPL;13° salário complementar ref.:;;Não;
2887;PGTO13COMPL;Pagamento 13° salário complementar ref.:;;Não;
2909;PGTODISTFUNC;Pagamento de distribuição de lucros a funcionários;;Não;
2917;PROVDISTADM;Provisão para distribuição de lucros ref.:;;Não;
2925;PGTODISTADM;Pagamento de distribuição de lucros ref.;;Não;
2933;INSSEMPREC;INSS patronal a recolher ref.:;;Não;
2941;INSSAUTREC;INSS autônomo a recolher ref.:;;Não;
2950;PROFGTSMR;FGTS multa rescisória a pagar ref.:;;Não;
2968;IRRFSAL;IRRF sobre salários a recolher ref.:;;Não;
2976;IRRFPROL;IRRF sobre pró-labore a recolher ref.:;;Não;
2984;IRRFAUT;IRRF autônomo a recolher ref.:;;Não;
2992;CONTRSINDPAT;Contr. sindical patronal a recolher ref.:;;Não;
3000;RECDPL;Valor recebimento duplicata nº;;Não;
3026;;Pagamento de duplicatas nº;;Não;
3042;;Recebimento de clientes diversos em crédito c/c;;Não;
3069;VAV;Valor venda a vista cfe red. Z nº;;Não;
3077;;Valor venda a prazo cfe relatório de venda;;Sim;
3085;S;Valor serviços cfe red. Z nº;;Não;
3093;;Valor venda cartão de crédito;;Sim;

SCI Ambiente Contábil ÚNICO;;;;
Impressão de campos da consulta;;;;;;;;Página: 9;

Código;Apelido;Nome;;Pula complemento;
3107;;Valor transferência venda cartão crédito/débito;;Não;
3115;;Valor transferência vales a clientes;;Não;
3123;;Recebimento clientes cfe relação anexa;;Não;
3131;;Valor crédito Mastercard-Fininvest;;Não;
3140;SERVIÇOS FATURIZAÇÃO;Valor serviços de faturizaçao ref NF nº;;Não;
3166;;Valor ref. recebimento de títulos;;Não;
3174;;Valor de deságio/juros contrato de;;Não;
